1,97.938,76.329,102.108,183.864,87.015,313.212,450.994,329.559,774.103,291.46,401.541,899.098,99.16,833.625,786.97,965.67,350.672,773.994,,p
2,27.382,64.905,37.866,259.627,70.83,90.031,13.432,90.73,27.54,933.118,86.036,150.26,114.06,853.462,24.05,328.28,823.093,287.074,,p
3,188.007,319.63,281.233,173.182,54.051,38.25,269.62,417.234,609.722,500.41,559.68,567.11,186.172,193.423,247.28,855.66,338.623,558.001,,p
4,38.439,98.254,41.725,189.587,76.905,43.432,17.412,843.226,303.23,37.97,14.859,500.72,141.418,959.381,267.56,768.48,929.373,146.167,,p
5,28.79,21.996,39.398,278.03,32.066,41.087,12.437,102.72,370.03,955.644,49.009,519.84,121.934,880.233,81.64,523.25,892.148,262.504,,p
6,28.79,21.996,39.398,278.03,32.066,41.087,12.437,102.72,370.03,955.644,49.009,519.84,121.934,880.233,81.64,523.25,892.148,262.504,,p
7,20.417,70.009,31.78,206.374,40.799,22.784,59.87,918.213,139.51,899.162,29.379,290.88,106.78,812.64,22.74,348.05,786.881,161.12,,p
8,267.654,24.149,28.429,23.236,44.5,29.859,395.64,561.035,138.714,211.55,823.751,778.72,45.767,954.613,305.578,241.68,58.794,322.591,,p
9,42.75,92.309,39.737,168.919,90.745,11.763,13.384,63.19,14.74,909.121,11.969,211.11,126.681,896.853,112.33,496.98,842.203,144.566,,p
10,145.332,17.525,177.746,67.04,22.493,14.421,34.612,31.747,322.932,77.43,579.79,659.678,237.435,926.676,443.87,305.218,58.388,423.105,,p
11,21.996,97.384,33.099,279.658,86.781,63.681,17.204,125.68,136.26,947.785,57.034,240.32,117.508,872.397,48.72,387.65,869.283,297.404,,p
12,162.91,156.896,538.093,152.509,50.751,667.435,85.96,26.23,343.023,161.568,308.89,932.67,566.19,232.77,726.927,557.219,229.329,120.091,,p
13,131.684,16.055,104.869,181.22,54.464,725.86,217.11,289.75,124.35,80.431,65.24,19.508,401.731,161.174,467.182,35.387,937.883,580.23,,p
14,217.311,247.794,225.857,235.611,181.911,915.629,224.12,696.92,515.82,272.22,102.14,884.77,219.448,920.793,394.73,665.135,653.76,657.475,,p
15,158.554,111.434,363.06,551.687,151.16,46.56,131.47,803.882,937.364,6.96,650.685,904.523,282.585,114.44,767.877,765.704,104.79,983.714,,p
16,77.943,40.006,57.21,802.986,33.959,228.68,811.14,562.44,838.601,100.95,79.35,571.82,99.68,788.556,147.89,25.78,767.881,863.189,,p
17,331.209,187.992,292.645,591.646,293.311,502.07,20.88,444.66,4.35,985.884,11.16,719.886,784.803,514.295,864.435,588.91,104.59,565.749,,p
18,73.32,672.18,788.088,254.91,41.432,80.509,49.196,20.117,226.457,477.129,33.643,41.367,750.227,399.823,88.846,15.982,245.992,111.095,,n
19,107.885,26.862,43.568,40.786,41.958,25.174,69.111,42.551,692.36,54.559,39.527,61.601,122.456,164.001,628.963,737.76,9.86,198.36,,p
